subject_id,n_obs_B,RMSE_B,NRMSE_B,R2_B,n_obs_H,RMSE_H,NRMSE_H,R2_H,r_M,gamma,sigma_F,sigma_A,p_max,s_B,a_B
M2042,5.0,1.2738852720272196,46.26426726025043,-2139.3824251278793,0.0,,,,0.05000000000000943,1.9999728293180592,1.499998917715453,1.4924999999999997,4.99961341804842,0.36771957447625464,4.999999992223912
M2047,6.0,1.4404619503028715,8.999298759724063,-79.98737816677105,0.0,,,,0.0500000000000574,7.0341345113215106e-15,1.499999999999913,0.6087472947006738,4.999999999998325,0.40396558997784604,4.999999999999195
M2060,4.0,0.4064197332954755,1.3277473515140463,-0.7629130294525648,0.0,,,,0.05000000000000001,1.2139974127599888e-28,1.4999999999999998,0.20381586987497083,0.888077159436435,0.13250782388776264,4.999999999999999
M2061,7.0,1.4440109949738453,10.863907226672506,-117.02448022974708,0.0,,,,0.050000000001098,1.9999982265682257,1.4999999374526003,1.4925,4.999995769123283,0.43838606478091396,4.999999997403883
M2064,5.0,1.7181109699041515,5.879207555580887,-33.565081481599385,5.0,4.965358663091385,4.965358663091385,-23.65478665313666,0.16951952451942934,1.8739119344126756,0.05389048632113564,0.419824145397906,4.83059419920085,0.25533977019952037,4.999999934938663
M2068,4.0,1.2428794198364619,4.13784071042307,-16.121725744834503,4.0,1.6034613565415083,1.6034613565415083,-1.5710883219219345,1.2739703017451458,0.3987072446398799,0.29936240321707874,1.238705038325067,0.6150563086591496,0.2006768566959138,4.999999999982161
M2069,6.0,1.5910600524208314,8.691827472273605,-74.54786480777017,6.0,4.375182913137197,4.375182913137197,-18.142225523407685,0.05000000000001027,1.999999999999967,1.0032301023500706e-15,0.007500000000261456,3.1885954707292807,0.2864708821372281,4.999999999999999
M2071,5.0,1.6807119025387152,10.637557242911312,-112.1576240962149,5.0,1.776106839865827,1.776106839865827,-2.1545555066181734,0.09990087694825828,0.09218275911159816,0.012139334716009729,0.0022762052098696975,0.6042621078537791,0.28462439942679635,4.999999552248319
M2072,5.0,1.3979496043839856,7.177518782616021,-50.51677587480577,0.0,,,,0.05000000000000001,9.881539251963801e-09,1.4999998297400094,9.218301130945638e-09,4.999983320066863,0.3259386396352026,4.999999977818437
M2075,6.0,1.3892547010623773,9.163978715101843,-82.97850589083961,0.0,,,,0.050000000000000024,1.9999993850135016,1.499999999990676,1.492500000000648,4.999692366234487,0.3843374270299493,4.999999999999957
