t,d,M,H,B,q,H_var,H_ac1
318.0,0.17009999999999997,1.408999999850487,0.9053418656160961,2.369473855137514,0.0,5.12537275533503e-06,0.5024796329638695
318.5,0.17024166666666665,1.4089999998561968,0.9051013208341621,2.3701891439273304,0.0,4.919173226834413e-06,0.5005824184538532
319.0,0.17038333333333333,1.4089999998616887,0.9069264770513052,2.370837481016607,0.0,4.8416463032252e-06,0.4865400839689375
319.5,0.17052499999999998,1.4089999998669709,0.9083224624662736,2.370913057536631,0.0,4.763801885193323e-06,0.49450233124671356
320.0,0.17066666666666666,1.4089999998720513,0.9038706625076234,2.3706406022092428,0.0,5.010475248565199e-06,0.4626157103332216
320.5,0.17080833333333334,1.4089999998769376,0.9028143178612068,2.3715613693499003,0.0,5.233496333581117e-06,0.5119950040522478
321.0,0.17095,1.4089999998816374,0.9047729986403412,2.372578440608574,0.0,5.3470007330453855e-06,0.5270301893052901
321.5,0.17109166666666664,1.4089999998861578,0.9037316841423297,2.3729140796633246,0.0,5.581199354052202e-06,0.5395637228399531
322.0,0.17123333333333332,1.4089999998905054,0.9014580412613924,2.3734614599632406,0.0,6.217150356457197e-06,0.5882034096662478
322.5,0.171375,1.408999999894687,0.905426459328396,2.3744872653221933,0.0,6.154804235753374e-06,0.5755282181854681
323.0,0.17151666666666665,1.4089999998987088,0.9062825893912161,2.374324690917585,0.0,6.123885611303128e-06,0.5728630004502706
323.5,0.17165833333333333,1.4089999999025773,0.9066675663615494,2.3739984126767033,0.0,6.08314601155072e-06,0.5688800411716948
324.0,0.1718,1.4089999999062979,0.9048811701463576,2.373660232068612,0.0,6.0755586285641385e-06,0.5595073271353084
324.5,0.17194166666666666,1.4089999999098763,0.9069651340257929,2.3738582805467385,0.0,5.4233332031632365e-06,0.5284591750612053
325.0,0.1720833333333333,1.4089999999133183,0.9054271976190338,2.373510622354409,0.0,5.263684804874602e-06,0.5458260353102301
325.5,0.172225,1.4089999999166287,0.9072981321976256,2.373638624007324,0.0,5.256572674492217e-06,0.5379705849138721
326.0,0.17236666666666667,1.4089999999198126,0.9041752542518995,2.3732888050998318,0.0,5.3768557175666705e-06,0.5268166063156371
326.5,0.17250833333333332,1.408999999922875,0.9027035202717907,2.3738132662655973,0.0,5.783734818577697e-06,0.5475417901838786
327.0,0.17264999999999997,1.4089999999258205,0.9040648021301007,2.3746190159104263,0.0,5.946799699025179e-06,0.5674807262800976
327.5,0.17279166666666668,1.4089999999286533,0.9029014311002947,2.374936905597157,0.0,6.169272222534988e-06,0.6477536781725036
328.0,0.17293333333333333,1.408999999931378,0.9050504864139656,2.3755006570100625,0.0,5.779172365814076e-06,0.6421892375416566
328.5,0.17307499999999998,1.4089999999339988,0.905256860903023,2.3754280071796066,0.0,5.710303503260054e-06,0.6544009414461216
329.0,0.17321666666666666,1.4089999999365195,0.9029567847483987,2.3753366743599655,0.0,6.02316102046657e-06,0.6567121432448679
329.5,0.17335833333333334,1.4089999999389438,0.9037733214133924,2.3758600474309652,0.0,6.104307954927314e-06,0.6681009484017748
330.0,0.1735,1.4089999999412754,0.9033017918562751,2.376090040070957,0.0,5.745396007081093e-06,0.6418648183881199
330.5,0.17364166666666664,1.408999999943518,0.9055708692127287,2.3764099542887016,0.0,5.091446738175876e-06,0.6037749656831797
331.0,0.17378333333333332,1.4089999999456753,0.903566930596143,2.3761131960623096,0.0,4.898371997578143e-06,0.5787087514297614
331.5,0.173925,1.40899999994775,0.9029223533906426,2.3763984735880235,0.0,4.8916225492542186e-06,0.5707517459062726
332.0,0.17406666666666665,1.4089999999497456,0.905873227739521,2.376805849995832,0.0,4.580006870483669e-06,0.5535443390697031
332.5,0.17420833333333333,1.4089999999516647,0.9093594259430363,2.376407655719396,0.0,4.906280698645312e-06,0.5363517408729921
333.0,0.17435,1.4089999999535106,0.9105652079044829,2.3752337983271805,0.0,5.49402719656873e-06,0.5762420930829415
333.5,0.17449166666666666,1.408999999955286,0.907238652000611,2.3740148154490277,0.0,5.398327790691943e-06,0.5606679932575844
334.0,0.1746333333333333,1.4089999999569938,0.9058503470694411,2.3738974080701682,0.0,4.637966435897226e-06,0.5322282312633027
