metabolite,local_sample_id,intensity_norm,log1p_intensity_norm,median_norm_factor,subject_id,time_hr
lactate,SM-7E5EH,728522.7694622182,13.498775532036,0.7161052775126142,,
lactate,SM-7ED9N,858553.3015736415,13.663005209006773,0.5915905268421292,,
lactate,SM-7ED9R,576118.4670364839,13.264070326221404,1.0835375633957387,,
lactate,SM-7EDA4,2494769.599752644,14.729707338953732,1.9185599345424793,,
lactate,SM-7EDA8,339119.7570281855,12.734111538355313,0.9284006415876046,,
lactate,SM-7EDAC,338258.6233331175,12.731568995984924,1.1634736643873422,,
lactate,SM-7EWUS,500110.01405122096,13.12258538086218,1.1507588007247083,,
lactate,SM-7F1RS,4419867.672597938,15.301620541530554,0.9375491093751015,,
lactate,SM-7F1RW,447942.32325883704,13.01242199281103,1.0910132278739944,,
lactate,SM-7F43P,473507.47879885056,13.067925098098108,1.4254959641022644,,
lactate,SM-7FHYA,2274015.1168749463,14.637058040723504,0.6812452514075316,,
lactate,SM-7FK3W,541705.5041629521,13.202479628520468,1.1596319313215535,,
lactate,SM-7FK4D,554496.9987742149,13.225818476702411,1.0468190112537583,,
lactate,SM-7FVSS,27547661.91970849,17.131428259464286,0.9063814588974823,,
lactate,SM-7GCHC,380683.2661545245,12.84972561279188,1.0456514257141558,,
lactate,SM-7GCHK,570220.7584649697,13.253780614088972,0.9887644243569513,,
lactate,SM-7GFUX,642848.3388844286,13.37366566609844,0.6535413947387219,,
lactate,SM-7GYHH,1152845.3666613079,13.957744543765367,1.1229068853779067,,
lactate,SM-7GYHL,378599.2020160325,12.844236051344202,2.06084692161332,,
lactate,SM-7GYIA,351477.60347831994,12.76990411634116,1.0330131889111842,,
lactate,SM-7GYJN,454316.19846154156,13.026550908089137,0.6434461306682772,,
lactate,SM-7GYJZ,603242.8272063741,13.310076750871932,0.9516250738669939,,
lactate,SM-7H4GS,1336883.679667207,14.105852599310374,1.1970076561921645,,
lactate,SM-7H4H1,1123933.0225710445,13.932345608932723,0.9216341002513101,,
lactate,SM-7H4HL,385956.6474649015,12.863482920833594,0.8648587922827661,,
lactate,SM-7HAI4,2389252.1880842387,14.686491401472724,1.8020169747975556,,
lactate,SM-7HNM8,384982.5,12.860955755208671,0.916114368834947,,
lactate,SM-7HXJO,485702.55353222403,13.093353744618014,1.0790204749566539,,
lactate,SM-7HXJW,378707.1954630679,12.844521254698943,1.0224204996331,,
lactate,SM-7I1FM,489514.6829903996,13.101171779234976,0.7130674770931146,,
lactate,SM-7I1FQ,796621.4942428073,13.58813618714522,1.1938179008136733,,
lactate,SM-7I1G3,1787718.7332777856,14.396451473703161,1.178399018137188,,
lactate,SM-7I1G7,391776.76799066487,12.878450039622447,0.9416025403752118,,
lactate,SM-7I1GX,377013.2536736638,12.840038273868393,0.7400323391322983,,
lactate,SM-7I1H2,962624.7304744406,13.777419965677197,0.866569259641672,,
lactate,SM-7I9G4,219871.26363375926,12.300802036862972,1.1333632048209983,,
lactate,SM-7I9GC,312697.2828851944,12.65299405217788,0.9455598631106609,,
lactate,SM-7IKZB,319667.4065957823,12.675039508130878,1.1894800413005786,,
lactate,SM-7IKZF,1599656.7421952651,14.285300253199802,1.340655744092264,,
lactate,SM-7IKZN,2269050.6509069204,14.634872527234453,1.5055203807965296,,
lactate,SM-7IL14,879024.9619765739,13.686569712040667,0.44352665380893935,,
lactate,SM-7IL1G,421596.19495431724,12.951805622852994,1.1045047502159189,,
lactate,SM-7IL1K,1115037.5108253714,13.924399501136739,0.5011903138454346,,
lactate,SM-7IL1O,529044.8513065251,13.178830382522003,0.9772574078042509,,
lactate,SM-7IL1S,509898.90208411566,13.141969715013646,0.8715668894040638,,
lactate,SM-7IWEO,595634.4567923497,13.297384109236246,0.6698252517971596,,
lactate,SM-7IWES,651802.9415444537,13.387499092535853,0.6975758638379667,,
lactate,SM-7IWEW,611893.7364086804,13.324315547368661,0.7522809478352912,,
lactate,SM-7IWF5,389832.52430123,12.87347506620876,0.7402024767359555,,
lactate,SM-7IWF9,396811.6301951847,12.89121948401528,1.184279804926198,,
lactate,SM-7IWFL,148011.7318989463,11.905053575390431,1.742138928392849,,
lactate,SM-7J5TO,391733.0402878972,12.878338419855263,0.6891300253907645,,
lactate,SM-7J5TW,656608.6117749959,13.394844922649453,0.8270817504691772,,
lactate,SM-7J5U1,555072.8748616055,13.226856491729254,1.617648854168696,,
lactate,SM-7J5UD,334703.0839311343,12.721002088891138,1.0614781191352853,,
lactate,SM-7K1UO,1010174.8234182533,13.825634956259156,2.008248426876546,,
lactate,SM-7K1UW,1014989.097655051,13.830389414405559,0.6347171624684239,,
lactate,SM-7K1V1,751625.0869007544,13.529994254408683,1.0085107764638652,,
lactate,SM-7K1V5,1571504.12882775,14.267544398865564,1.937155584994123,,
lactate,SM-7K1V9,397527.35574450815,12.893021545738598,1.4017299487639048,,
lactate,SM-7K1VZ,404720.90968480735,12.91095546748801,0.7723519900255207,,
lactate,SM-7K1W8,539720.7544774639,13.198809016257337,0.9622216594260778,,
lactate,SM-7K1WG,436562.39662903716,12.986688882270192,0.8439916100082471,,
lactate,SM-7K259,428991.13127141725,12.969193855717268,1.182495308228296,,
lactate,SM-7KMR8,401369.2406820683,12.90263957378696,0.9583968102446215,,
lactate,SM-7M36P,642449.0730831416,13.373044385468553,1.2531218951510783,,
lactate,SM-7M8S2,502023.2171000409,13.126403638745437,1.4185618826829791,,
lactate,SM-7M8SE,509647.620405082,13.141476787647113,0.756975966440033,,
lactate,SM-7MCTQ,546986.2108182939,13.21218070054266,1.1567512809023788,,
lactate,SM-7MCUF,582202.0709716016,13.27457458505062,1.6650730877377544,,
lactate,SM-7NH6E,919678.9852776676,13.73178104642464,2.173491002837791,,
lactate,SM-7NSP1,398292.58068740845,12.894944652262074,1.383387556577247,,
lactate,SM-7R3AC,648380.1717304288,13.382234030375205,1.4902846233270344,,
lactate,SM-7R3AG,1924251.1448584576,14.470047954042407,1.0297039475820329,,
lactate,SM-7RFYJ,861667.6239779544,13.666626048795123,0.6871559096842065,,
lactate,SM-9HYXZ,930847.4198856245,13.743851728702362,0.6290805426220673,,
lactate,SM-9IMBZ,374073.90082943696,12.832211325942815,1.7155273291643127,,
lactate,SM-9IT11,424724.6589449672,12.959198731111545,0.8676680108836116,,
lactate,SM-9J5IT,423338.79645505775,12.955930436866794,0.9362217763145078,,
lactate,SM-9J5IX,3131861.4221876552,14.957138408623454,1.269946036508153,,
lactate,SM-9JUD6,705846.3396653933,13.467154260325138,0.8649432117044281,,
lactate,SM-9JYA2,2108558.854108122,14.561515738822106,1.026015468235569,,
lactate,SM-9JYAI,678192.6675082175,13.427188171426039,1.519630113057087,,
lactate,SM-9KOMO,4336243.4376983205,15.28251919452058,1.5369257044151357,,
lactate,SM-9KOPV,557449.5265090487,13.23112903669083,0.8867260200138968,,
lactate,SM-9NBDO,398883.4695187677,12.896427103866007,1.4121317202729995,,
lactate,SM-9NBE1,362701.54093140276,12.801338330847233,1.033483340151825,,
lactate,SM-9NBEP,7345309.781750543,15.809572678710037,1.2907002266336782,,
lactate,SM-9NBF6,508713.5543021932,13.139642341178444,1.3754105706103523,,
